influencer_name,display_name,post_count,avg_likes,avg_comments,avg_views,total_likes,total_comments,account_type,country,followers_at_date,oldest_followers,FGR,first_post,last_post,category
dilara,DILARA,86,196784.22093023255,672.1162790697674,4909005.383720931,16923443,57802,business,TR,24545027,19636022,0.0,2016-11-06 18:54:47,2026-05-19 18:24:33,
dilarakacmazofficial,Dilara Kaçmaz,100,5867.47,68.23,985496.82,586747,6823,creator,TR,4927484,3941987,105.27,2026-01-25 13:19:19,2026-05-19 12:52:31,
dilarakocakiyiyasam,Dilara Koçak,100,3572.34,81.85,120375.14,357234,8185,creator,TR,601876,481501,-42.14,2025-04-07 11:05:55,2026-05-14 15:28:57,
dr.ferhataslann,Dr. Ferhat Aslan,100,8513.64,197.82,282089.66,851364,19782,creator,TR,1410448,1128359,35.31,2026-01-17 14:40:13,2026-05-18 18:19:01,
duyguozaslan,Duygu Ozaslan Mutaf,100,18826.87,91.9,1321188.39,1882687,9190,business,TR,6605942,5284754,-74.65,2025-06-14 18:02:47,2026-05-17 19:17:11,
ebruakel,Ebru Akel,100,2021.9,79.49,165759.42,202190,7949,creator,TR,828797,663038,29.45,2025-06-01 06:58:42,2026-05-16 12:46:44,
ebrugundes,Ebru Gündeş,100,79037.17,1381.95,2100547.77,7903717,138195,creator,TR,10502739,8402191,-30.51,2024-10-15 12:00:13,2026-05-17 12:19:27,
ebrukaradumanofficial,Ebru Karaduman,100,725.4,235.43,95603.14,72540,23543,creator,TR,478016,382413,-40.68,2026-03-01 18:00:33,2026-05-19 16:22:22,
ebrupolat,EBRU POLAT💎,100,6732.78,194.61,1334521.97,673278,19461,creator,TR,6672610,5338088,-33.62,2024-03-18 18:48:12,2026-05-14 19:46:39,
ebrusalli,Ebru Şallı,100,152.95,487.57,1447653.49,15295,48757,creator,TR,7238267,5790614,-15.05,2024-12-11 16:58:25,2026-05-19 06:00:54,
eda,Eda Kurt,100,3540.49,43.46,627685.08,354049,4346,creator,TR,3138425,2510740,132.31,2025-08-28 17:54:36,2026-05-17 16:56:54,
eda.ece,Eda Ece Tuncer,100,368149.37,1771.85,14547726.31,36814937,177185,creator,TR,72738632,58190905,-84.22,2023-06-05 21:17:07,2026-05-10 07:39:56,
edaerdem14,Eda Erdem,100,109406.44,1080.8,2947460.82,10940644,108080,creator,TR,14737304,11789843,-82.14,2022-08-06 12:36:03,2026-05-09 15:58:29,
edakarabulut,Eda Karabulut,100,8810.52,269.09,936342.08,881052,26909,creator,TR,4681710,3745368,-17.97,2025-08-25 12:11:19,2026-05-19 14:55:46,
edakok59,Eda Kök,100,304740.61,2890.45,14444019.42,30474061,289045,creator,TR,72220097,57776078,-43.09,2025-04-11 17:40:13,2026-05-16 13:17:34,
edasakiz33,Eda Sakız,100,105587.84,6995.12,6498601.9,10558784,699512,creator,TR,32493010,25994408,-6.6,2025-05-13 14:47:26,2026-05-15 14:35:27,
evamurati,Eva Murati,100,10822.52,463.68,495296.05,1082252,46368,creator,TR,2476480,1981184,-62.46,2025-10-26 19:46:44,2026-05-15 19:08:38,
fafazey,farah zeynep abdullah,100,38640.42,491.4,2492465.21,3864042,49140,creator,TR,12462326,9969861,-51.52,2021-11-12 16:01:08,2026-05-03 17:02:04,
ferhatbora,Ferhat Bora,100,2111.96,39.69,281449.88,211196,3969,creator,TR,1407249,1125800,-74.46,2021-02-20 13:08:31,2026-05-16 08:54:34,
ferhatdedeofficiiall,Ferhat Dede,100,819.83,37.22,44387.1,81983,3722,creator,TR,221936,177548,-60.47,2026-04-19 04:51:34,2026-05-19 21:29:54,
gardiropgurusu,𝐻𝐴𝑁𝐷𝐸 𝐶𝐴𝑁,100,1231.82,35.39,88073.87,123182,3539,creator,TR,440369,352295,47.59,2026-01-16 09:23:45,2026-05-19 12:08:12,
hey_bones_animals,Murat Colak,100,71593.47,1028.89,2148461.54,7159347,102889,business,TR,10742308,8593846,23.83,2026-02-09 10:34:08,2026-05-19 18:42:35,
iammuratf,Murat FİNCAN,100,7901.06,30.61,21423.66,790106,3061,creator,TR,107118,85695,0.0,2020-12-30 17:57:25,2024-03-27 12:37:02,
idilyazar,idilyazar,100,2072.68,26.59,190893.36,207268,2659,creator,TR,954467,763573,-46.72,2026-03-11 17:43:34,2026-05-19 18:26:06,
jahrein,Ahmet Sonuç,100,33820.16,506.75,1358074.0,3382016,50675,creator,TR,6790370,5432296,-45.94,2024-09-03 09:46:34,2026-05-12 11:30:51,
kendinemuzisyen,Kemal Can Parlak,100,103264.51,636.37,2775296.24,10326451,63637,creator,TR,13876481,11101185,0.0,2020-06-13 11:44:44,2026-05-14 15:10:33,
kevserin.mutfagi,Kevserin_mutfagi,100,78.82,0.91,11810.56,7882,91,business,TR,59053,47242,-57.69,2025-12-02 08:17:57,2026-05-10 06:57:43,
londongyd,MESUT PARMAK,100,3753.45,34.77,15748.6,375345,3477,business,TR,78743,62994,-43.35,2023-04-04 19:29:32,2026-05-16 16:42:47,
m10_official,Mesut Özil,100,505528.62,3421.15,14556352.28,50552862,342115,creator,TR,72781761,58225409,-91.28,2023-05-28 18:36:35,2026-05-18 19:15:12,
mavikadar,Şevval Aydemir Emir,100,1508.38,33.04,146192.97,150838,3304,creator,TR,730965,584772,-41.21,2026-01-12 16:30:40,2026-05-19 09:15:56,
meliiskaraduman,Melis Karaduman,100,1651.53,24.44,76061.24,165153,2444,creator,TR,380306,304245,-31.06,2025-09-10 16:29:40,2026-05-18 15:34:16,
mervebolugur,Merve Boluğur,100,16089.93,158.69,1013871.1,1608993,15869,creator,TR,5069356,4055484,-35.6,2025-10-02 16:51:47,2026-05-19 18:54:01,
mervecagiran,Merve Çağıran,100,44790.82,214.19,413759.41,4479082,21419,creator,TR,2068797,1655038,0.0,2020-04-04 16:15:09,2026-03-20 14:02:27,
mervedizdar,Merve Dizdar,100,31150.71,243.43,1777943.68,3115071,24343,business,TR,8889718,7111775,-51.79,2023-09-26 15:00:03,2026-04-20 20:05:04,
mervenurakyuz,MERVE KORKUT,100,16869.43,69.37,1363322.33,1686943,6937,creator,TR,6816612,5453289,-11.14,2025-06-06 11:14:10,2026-05-19 17:06:14,
